epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4643,3.04009,3.40333,3.53531,0.17101,0.08043,0.10836,0.01903,3.32016,3.81608,4.62961,4.287e-05,4.287e-05,4.287e-05
2,26.4603,3.07799,3.2542,3.52174,0.7826,0.26923,0.20628,0.04989,2.83566,2.82372,3.03731,9.83795e-05,9.83795e-05,9.83795e-05
3,28.5848,1.95235,2.16444,2.09487,0.9603,0.68972,0.77002,0.46454,1.54461,1.96908,1.78383,0.000152003,0.000152003,0.000152003
4,30.8652,1.74495,1.83193,1.84317,0.89977,0.75641,0.85906,0.47391,1.65617,2.32743,1.85444,0.00020374,0.00020374,0.00020374
5,32.8361,1.58467,1.5938,1.66354,0.827,0.78112,0.87532,0.42294,1.62818,1.89024,1.86104,0.00025359,0.00025359,0.00025359
6,34.8422,1.55483,1.47988,1.64436,0.82687,0.87021,0.93304,0.54203,1.56075,1.61973,1.75847,0.000301555,0.000301555,0.000301555
7,37.5726,1.53049,1.18988,1.56649,0.83619,0.97878,0.97821,0.55962,1.60965,1.16535,1.84275,0.000347633,0.000347633,0.000347633
8,40.0357,1.5361,1.20245,1.54888,0.82212,0.91667,0.96583,0.58847,1.63752,1.44969,1.81806,0.000391825,0.000391825,0.000391825
9,41.9814,1.4882,1.0375,1.52482,0.80738,0.98678,0.96679,0.5312,1.63568,1.13805,1.75314,0.00043413,0.00043413,0.00043413
10,43.9805,1.53917,0.92121,1.50733,0.91947,0.91667,0.93982,0.49575,1.72967,1.09697,1.91361,0.000474549,0.000474549,0.000474549
11,45.7595,1.48902,0.87794,1.51388,0.82862,0.74026,0.8116,0.42038,1.82779,1.50415,1.98677,0.000513082,0.000513082,0.000513082
12,47.7469,1.44134,0.86664,1.41945,0.90677,0.75,0.86046,0.36596,2.13458,1.02229,2.43322,0.000549729,0.000549729,0.000549729
13,50.2714,1.51932,0.8184,1.41506,0.63409,0.84496,0.82618,0.27913,2.5584,1.24995,2.96987,0.00058449,0.00058449,0.00058449
14,52.5732,1.49274,0.83462,1.45636,0.87221,0.57758,0.75841,0.29723,2.43676,1.34973,2.43596,0.000617364,0.000617364,0.000617364
15,54.6246,1.41585,0.79027,1.37798,0.50097,0.59701,0.58133,0.24699,2.27844,1.59376,2.44391,0.000648352,0.000648352,0.000648352
16,56.6042,1.487,0.80218,1.48212,0.44622,0.62071,0.54002,0.21517,2.2391,1.46421,2.45012,0.000677453,0.000677453,0.000677453
17,58.5939,1.45291,0.81507,1.42644,0.66005,0.79487,0.7313,0.37419,1.82744,1.04697,2.03619,0.000704668,0.000704668,0.000704668
18,60.441,1.38161,0.71919,1.34999,0.68896,1,0.86126,0.4323,1.638,0.88395,1.81935,0.000729998,0.000729998,0.000729998
19,62.6703,1.47138,0.75552,1.42322,0.80606,0.94286,0.91111,0.47975,1.73854,0.8261,1.91446,0.00075344,0.00075344,0.00075344
20,65.24,1.43241,0.76173,1.40606,0.93377,0.80252,0.93336,0.54064,1.64138,0.72791,1.84743,0.000774997,0.000774997,0.000774997
21,67.1707,1.50155,0.76354,1.46643,0.94668,0.916,0.9925,0.53933,1.71505,0.68608,1.96976,0.000794667,0.000794667,0.000794667
22,68.9503,1.35856,0.72225,1.37753,0.84609,0.95471,0.95679,0.53613,1.69611,0.78997,1.96568,0.000812451,0.000812451,0.000812451
23,70.7079,1.3911,0.77071,1.38761,0.98908,0.88101,0.975,0.57291,1.61349,0.72678,1.79842,0.000828348,0.000828348,0.000828348
24,72.538,1.39068,0.65859,1.42662,0.89804,0.75,0.88357,0.5301,1.67319,0.9422,1.93338,0.00084236,0.00084236,0.00084236
25,74.3552,1.36029,0.69466,1.36302,0.87412,0.71154,0.77745,0.47684,1.59334,0.96178,1.83504,0.000854485,0.000854485,0.000854485
26,77.1645,1.38601,0.67559,1.38263,0.90532,0.75,0.81094,0.50942,1.47667,0.90207,1.72064,0.000839537,0.000839537,0.000839537
27,79.3409,1.42233,0.6651,1.40722,0.86061,0.79487,0.80809,0.45505,1.74078,0.86986,1.94832,0.000815959,0.000815959,0.000815959
28,81.4493,1.44356,0.70113,1.43308,0.85754,0.82388,0.88065,0.47837,1.77538,0.80577,1.99796,0.00079238,0.00079238,0.00079238
29,83.3233,1.30943,0.66212,1.34453,0.716,0.87821,0.86843,0.48307,1.61835,0.81858,1.78243,0.000768802,0.000768802,0.000768802
30,85.2246,1.3715,0.65838,1.42397,0.78208,0.7466,0.87239,0.53107,1.56146,0.92398,1.74157,0.000745223,0.000745223,0.000745223
31,87.0842,1.37888,0.6351,1.34079,0.65212,0.80243,0.83354,0.47702,1.68677,0.94792,1.87782,0.000721645,0.000721645,0.000721645
32,89.68,1.39521,0.69916,1.38142,0.69018,0.82686,0.82253,0.48332,1.56081,0.84571,1.7463,0.000698066,0.000698066,0.000698066
33,91.9461,1.31536,0.6875,1.38099,0.75588,0.93522,0.89287,0.55455,1.52999,0.80665,1.69671,0.000674488,0.000674488,0.000674488
34,93.7682,1.35692,0.6372,1.3205,0.86617,0.92308,0.94839,0.59228,1.52139,0.78817,1.69084,0.000650909,0.000650909,0.000650909
35,95.6482,1.33711,0.66372,1.30754,0.86222,0.92308,0.95876,0.59669,1.60863,0.84917,1.83298,0.000627331,0.000627331,0.000627331
36,97.5922,1.31107,0.67523,1.32195,0.85839,0.92308,0.96105,0.55694,1.62114,0.83458,1.86491,0.000603752,0.000603752,0.000603752
37,99.4437,1.30174,0.68181,1.34075,0.8351,0.94704,0.96964,0.57239,1.58524,0.77192,1.76509,0.000580174,0.000580174,0.000580174
38,101.405,1.3411,0.64326,1.3957,0.83313,0.94748,0.95119,0.55327,1.60731,0.76508,1.81579,0.000556595,0.000556595,0.000556595
39,104.121,1.30172,0.56558,1.33727,0.79332,0.98851,0.93892,0.56133,1.58084,0.69942,1.80711,0.000533017,0.000533017,0.000533017
40,106.034,1.26474,0.6249,1.28041,0.90846,0.82867,0.91726,0.5534,1.59069,0.77192,1.85117,0.000509438,0.000509438,0.000509438
